country,sub_region,language_1,language_2,language_3,ign,team_role,igl,standings,team_name_full,shorthand,agent_1,agent_2,agent_3,maps,k,d,a,kd,kda,acs_per_map,k_per_map,d_per_map,a_per_map
India,South Asia,Hindi,English,,Meow16K,Entry,False,2nd,9to5 workers,N2F,Neon,Raze,,5,96,90,22,1.06,1.31,253,19.2,18.0,4.4
Japan,Japan,Japanese,,,Merununtius,Support,False,7th-8th,Meteor GC,MTR,Breach,KAY/O,,5,64,81,44,0.79,1.33,167,12.8,16.2,8.8
Thailand,South East Asia,Thai,,,Micro,Entry,False,9th-12th,LILITH,LL,Jett,,,6,112,89,21,1.25,1.49,275,18.6,14.8,3.5
Hong Kong,South East Asia,Cantonese,English,,Mikkasie,Flex,False,13th-16th,Livestrong Queens,LQ,Omen,Raze,,3,32,48,25,0.66,1.18,189,10.6,16.0,8.3
Thailand,South East Asia,Thai,,,Mimo,Anchor,False,7th-8th,LILAX,LI,Killjoy,Cypher,,11,128,150,26,0.85,1.02,170,11.6,13.6,2.3
Japan,Japan,Japanese,,,Mochirrrr,Flex,False,7th-8th,DetonatioN FocusMe GC,DFM,Omen,Breach,Killjoy,4,35,54,23,0.64,1.07,147,8.7,13.5,5.7
Japan,Japan,Japanese,,,Moco,Smoker,False,1st,ZETA DIVISION GC,ZETA,Omen,Viper,,11,173,129,79,1.34,1.95,199,15.7,11.7,7.1
South Korea,South Korea,Korean,,,MyoH4nN,Flex,False,2nd,URACHACHA GC,UR,Killjoy,Jett,Clove,10,192,146,39,1.31,1.58,257,19.2,14.6,3.9
Indonesia,South East Asia,Indonesian,,,Naturale,Support,False,9th-12th,BIGG Siren,BIGG.S,Sova,Breach,Jett,5,73,75,43,0.97,1.54,179,14.6,15.0,8.6
Japan,Japan,Japanese,,,Neko,Entry,False,7th-8th,DetonatioN FocusMe GC,DFM,Raze,Jett,,4,50,59,10,0.84,1.01,196,12.5,14.7,2.5
Thailand,South East Asia,Thai,,,Newky,Entry,False,7th-8th,LILAX,LI,Reyna,Phoenix,Skye,11,161,166,48,0.96,1.25,206,14.6,15.0,4.3
Australia,Oceania,English,,,Nila,Anchor,False,5th-6th,Scissor Sisters,SNIP,Killjoy,Cypher,,6,90,78,21,1.15,1.42,220,15.0,13.0,3.5
South Korea,South Korea,Korean,,,Nlight,Flex,False,4th,SGA InCheon,SGA,Raze,Gekko,Killjoy,5,60,63,13,0.95,1.15,173,12.0,12.6,2.6
Australia,Oceania,English,,,No Commentt,Entry,False,3rd,DXA Esports GC,DXA,Jett,Raze,KAY/O,9,128,130,32,0.98,1.23,208,14.2,14.4,3.5
Philippines,South East Asia,Filipino,English,,PIETY,Support,False,2nd,Sisu,SISU,Killjoy,Breach,Gekko,21,345,265,115,1.3,1.73,230,16.4,12.6,5.4
Australia,Oceania,English,,,Panchiko,Support,False,3rd,DXA Esports GC,DXA,KAY/O,Breach,Skye,10,157,113,89,1.38,2.17,245,15.7,11.3,8.9
South Korea,South Korea,Korean,,,PenEloPE,Anchor,False,3rd,Nuclear GC,NC,Killjoy,,,3,42,52,11,0.8,1.01,169,14.0,17.3,3.6
Japan,Japan,Japanese,,,PingSonG,Support,False,2nd,FENNEL Female,FL,Fade,Sova,Skye,16,200,233,118,0.85,1.36,178,12.5,14.5,7.3
New Zealand,Oceania,English,Maori,,Pink,Entry,False,5th-6th,Scissor Sisters,SNIP,Raze,Iso,KAY/O,6,67,91,34,0.73,1.1,190,11.1,15.1,5.6
