country,ign,team_name_full,shorthand,standings,role,agent_1,agent_2,agent_3,maps,k,d,a,kd,kda,acs_per_map,k_per_map,d_per_map,a_per_map,language_1,language_2,language_3
China,DK,Tpx,TPX,13,Recon,KAY/O,Fade,NaN,3,46,46,24,1,1.52,205,15.3,15.3,8,Mandarin,NaN,NaN
China,Snow,Rare Atom,RA,5,Smoker,Viper,Omen,NaN,5,71,72,33,0.98,1.44,203,14.2,14.4,6.6,Mandarin,NaN,NaN
China,x3b,Qing Jiu Club,Q9,5,Flash,Gekko,NaN,NaN,5,76,72,27,1.05,1.43,198,15.2,14.4,5.4,Mandarin,NaN,NaN
China,Main,Ambitious Legend Gaming,ALG,5,Anchor,Killjoy,Cypher,NaN,8,123,126,16,0.97,1.1,197,15.3,15.7,2,Mandarin,NaN,NaN
South Korea,WIX,Octagonal Disposition Gaming,ODG,9,Anchor,Killjoy,Cypher,NaN,4,66,77,24,0.85,1.16,197,16.5,19.2,6,Mandarin,Korean,NaN
China,ZiXuan,Chosen Clique Gaming,CCG,3,Smoker,Omen,NaN,NaN,1,17,18,13,0.94,1.66,196,17,18,13,Mandarin,NaN,NaN
Portugal,KaweNtw,Chosen Clique Gaming,CCG,3,Anchor,Cypher,Deadlock,Killjoy,5,83,70,31,1.18,1.62,194,16.6,14,6.2,Mandarin,Portuguese,Mirandese
China,Exile,Rare Atom,RA,5,Smoker,Omen,Sova,Gekko,5,67,67,46,1,1.68,194,13.4,13.4,9.2,Mandarin,NaN,NaN
Taiwan,yCw,Octagonal Disposition Gaming,ODG,9,Smoker,Viper,Sova,NaN,4,65,68,30,0.95,1.39,194,16.2,17,7.5,Mandarin,NaN,NaN
Vietnam,Mihlog,Rare Atom,RA,5,Recon,KAY/O,Skye,Omen,5,74,69,39,1.07,1.63,193,14.8,13.8,7.8,Mandarin,Vietnamese,NaN
China,DELETE,Qing Jiu Club,Q9,5,Lurker,Omen,Killjoy,NaN,5,78,73,25,1.06,1.41,192,15.6,14.6,5,Mandarin,NaN,NaN
China,player,Qing Jiu Club,Q9,5,Entry,Raze,Jett,NaN,5,69,85,19,0.81,1.03,192,13.8,17,3.8,Mandarin,NaN,NaN
Hong Kong,star,ZY Gaming,ZYG,5,Anchor,Cypher,NaN,NaN,1,17,17,5,1,1.29,191,17,17,5,Mandarin,Cantonese,English
China,MarT1n,XLG Esports,XLG,1,Smoker,Omen,Brimstone,NaN,5,78,66,45,1.18,1.86,191,15.6,13.2,9,Mandarin,NaN,NaN
China,Tapp,I May,IMAY,13,Smoker,Brimstone,Viper,NaN,2,24,30,6,0.8,1,188,12,15,3,Mandarin,NaN,NaN
China,Zoomer,Chosen Clique Gaming,CCG,3,Entry,Jett,Raze,NaN,5,75,85,15,0.88,1.05,188,15,17,3,Mandarin,NaN,NaN
China,9st,Kulin Esports,KE,3,Recon,KAY/O,Skye,Viper,7,82,102,61,0.8,1.4,187,11.7,14.5,8.7,Mandarin,NaN,NaN
China,yeoj,Kulin Esports,KE,3,Smoker,Omen,Brimstone,NaN,7,81,88,82,0.92,1.85,184,11.5,12.5,11.7,Mandarin,NaN,NaN
China,Yueluo,Rare Atom,RA,5,Anchor,Cypher,Killjoy,NaN,5,67,75,16,0.89,1.1,182,13.4,15,3.2,Mandarin,NaN,NaN
China,Amanoh,LaoTouLe,LTL,13,Entry,Raze,Omen,NaN,2,31,40,9,0.77,1,181,15.5,20,4.5,Mandarin,NaN,NaN
China,Lucky,1one,ONE,9,Entry,Raze,Jett,NaN,4,52,66,8,0.78,0.9,181,13,16.5,2,Mandarin,NaN,NaN
China,Volay,Ambitious Legend Gaming,ALG,5,Recon,Sova,Skye,Gekko,8,105,112,46,0.93,1.34,180,13.1,14,5.7,Mandarin,NaN,NaN
China,Link,Ambitious Legend Gaming,ALG,5,Flash,Breach,Omen,KAY/O,8,103,113,88,0.91,1.69,180,12.8,14.1,11,Mandarin,NaN,NaN
China,maizi,ZY Gaming,ZYG,5,Anchor,Killjoy,Viper,Cypher,4,54,62,21,0.87,1.2,179,13.5,15.5,5.2,Mandarin,NaN,NaN
China,WeiYu,ZFGaming,ZFG,9,Smoker,Brimstone,Viper,Omen,3,41,48,26,0.85,1.39,179,13.6,16,8.6,Mandarin,NaN,NaN
China,QnxD,Tpx,TPX,13,Anchor,Killjoy,Sova,Gekko,3,40,53,17,0.75,1.07,178,13.3,17.6,5.6,Mandarin,NaN,NaN
Macau,FFs,ZY Gaming,ZYG,5,Flash,Gekko,Viper,Sova,5,67,84,30,0.79,1.15,177,13.4,16.8,6,Country not mapped,Country not mapped,Country not mapped
Hong Kong,Ace,KeepBest Gaming,KBG,2,Flash,Skye,Gekko,KAY/O,7,89,82,65,1.08,1.87,176,12.7,11.7,9.2,Mandarin,Cantonese,English
