country,sub_region,language_1,language_2,language_3,ign,team_role,igl,standings,team_name_full,shorthand,agent_1,agent_2,agent_3,maps,k,d,a,kd,kda,acs_per_map,k_per_map,d_per_map,a_per_map
Indonesia,Indonesia,Indonesian,,,fausTao,Entry,FALSE,3rd,ARF TEAM,ARF,Raze,Jett,Yoru,23,403,365,94,1.1,1.36,240,17.5,15.8,4
Indonesia,Indonesia,Indonesian,,,frostmind,Anchor,FALSE,4th,Bigetron Arctic,BTR,Killjoy,Cypher,Brimstone,22,324,307,87,1.05,1.33,192,14.7,13.9,3.9
Indonesia,Indonesia,Indonesian,,,gotten,Smoker,FALSE,2nd,Alter Ego,AE,Omen,Killjoy,Brimstone,25,345,331,199,1.04,1.64,189,13.8,13.2,7.9
Indonesia,Indonesia,Indonesian,,,heyNF,Support,FALSE,5th-6th,Cynical,CNL,Breach,Skye,Killjoy,20,271,292,166,0.92,1.49,189,13.5,14.6,8.3
Indonesia,Indonesia,Indonesian,,,k1ngkappa,Anchor,FALSE,5th-6th,THE HERO DETA,THD,Cypher,Viper,Killjoy,24,371,349,113,1.06,1.38,216,15.4,14.5,4.7
Indonesia,Indonesia,Indonesian,,,limitado,Flex,FALSE,7th,DIS Esports,DIS,Gekko,Viper,Yoru,12,147,187,46,0.78,1.03,167,12.2,15.5,3.8
Indonesia,Indonesia,Indonesian,,,mas,Support,FALSE,7th,DIS Esports,DIS,Raze,Sova,Skye,16,195,251,94,0.77,1.15,192,12.1,15.6,5.8
Indonesia,Indonesia,Indonesian,,,naTz,Flex,FALSE,5th-6th,THE HERO DETA,THD,Omen,Viper,Brimstone,24,338,364,159,0.92,1.36,200,14,15.1,6.6
Indonesia,Indonesia,Indonesian,,,ray4c,Entry,FALSE,2nd,Alter Ego,AE,Raze,,,26,386,401,123,0.96,1.26,214,14.8,15.4,4.7
Indonesia,Indonesia,Indonesian,,,reeq,Flex,FALSE,5th-6th,Cynical,CNL,Cypher,Fade,Viper,19,244,285,116,0.85,1.26,188,12.8,15,6.1
Indonesia,Indonesia,Indonesian,,,tupai,Flex,FALSE,7th,DIS Esports,DIS,Sova,Cypher,Chamber,13,144,220,55,0.65,0.9,177,11,16.9,4.2
Indonesia,Indonesia,Indonesian,,,vascalizz,Flex,FALSE,4th,Bigetron Arctic,BTR,Sova,Skye,Gekko,12,174,164,66,1.06,1.46,186,14.5,13.6,5.5
Indonesia,Indonesia,Indonesian,,,woody,Support,FALSE,3rd,ARF TEAM,ARF,Gekko,KAY/O,Reyna,23,375,327,207,1.14,1.77,224,16.3,14.2,9
Japan,Japan,Japanese,,,Aace,Flex,FALSE,1st,Riddle,RID,Viper,Omen,Brimstone,22,374,319,143,1.17,1.62,206,17,14.5,6.5
Japan,Japan,Japanese,,,Absol,Flex,FALSE,4th,Murash gaming,MRSH,Raze,Phoenix,Jett,22,395,366,105,1.07,1.36,238,17.9,16.6,4.7
South Korea,Japan,Japanese,Korean,,Akame,Flex,FALSE,7th,REJECT,RC,Raze,Astra,Killjoy,18,336,312,78,1.07,1.32,241,18.6,17.3,4.3
Japan,Japan,Japanese,,,BRIAN,Flex,FALSE,7th,REJECT,RC,Omen,Gekko,Yoru,18,245,275,123,0.89,1.33,180,13.6,15.2,6.8
Japan,Japan,Japanese,,,Biju,Flex,FALSE,4th,Murash gaming,MRSH,Omen,Brimstone,Viper,22,287,348,159,0.82,1.28,171,13,15.8,7.2
Japan,Japan,Japanese,,,BlackWiz,Smoker,FALSE,5th-6th,VARREL,VL,Viper,Omen,Deadlock,20,256,323,130,0.79,1.19,171,12.8,16.1,6.5
Japan,Japan,Japanese,,,CLZ,Flex,TRUE,2nd,FENNEL,FL,KAY/O,Breach,Gekko,30,440,434,264,1.01,1.62,191,14.6,14.4,8.8
Japan,Japan,Japanese,,,Caedye,Support,FALSE,1st,Riddle,RID,Raze,Sova,Gekko,22,384,340,101,1.12,1.42,221,17.4,15.4,4.5
South Korea,Japan,Japanese,Korean,,Esperanza,Support,FALSE,8th,Northeption,NTH,Skye,Cypher,Gekko,17,268,260,70,1.03,1.3,212,15.7,15.2,4.1
Japan,Japan,Japanese,,,GON,Flex,FALSE,2nd,FENNEL,FL,Omen,Brimstone,Harbor,30,431,429,239,1,1.56,184,14.3,14.3,7.9
South Korea,Japan,Japanese,Korean,,GangPin,Smoker,FALSE,7th,REJECT,RC,Viper,Omen,,18,274,261,147,1.04,1.61,191,15.2,14.5,8.1
South Korea,Japan,Japanese,Korean,,Gwangboong,Entry,FALSE,3rd,Sengoku Gaming,SG,Raze,Jett,Yoru,23,437,366,75,1.19,1.39,242,19,15.9,3.2
Japan,Japan,Japanese,,,HaReeee,Flex,FALSE,8th,Northeption,NTH,Omen,Killjoy,,9,116,140,42,0.82,1.12,156,12.8,15.5,4.6
Japan,Japan,Japanese,,,Hals,Anchor,FALSE,7th,REJECT,RC,Cypher,Killjoy,Jett,18,284,274,96,1.03,1.38,209,15.7,15.2,5.3
South Korea,Japan,Japanese,Korean,,JinboongE,Anchor,FALSE,3rd,Sengoku Gaming,SG,Killjoy,Cypher,Viper,23,372,355,109,1.04,1.35,210,16.1,15.4,4.7
South Korea,Japan,Japanese,Korean,,JoXJo,Flex,TRUE,1st,Riddle,RID,KAY/O,Skye,Breach,21,293,314,219,0.93,1.63,180,13.9,14.9,10.4
South Korea,Japan,Japanese,Korean,,L0B,Flex,FALSE,5th-6th,VARREL,VL,Sova,Gekko,Skye,20,356,275,134,1.29,1.78,229,17.8,13.7,6.7
Russia,Japan,Japanese,Russian,,Lumo,Flex,FALSE,5th-6th,SCARZ,SZ,Breach,KAY/O,Skye,20,296,248,222,1.19,2.08,200,14.8,12.4,11.1
Japan,Japan,Japanese,,,MrTenzouEz,Support,FALSE,5th-6th,SCARZ,SZ,Sova,Gekko,Sage,20,276,276,117,1,1.42,185,13.8,13.8,5.8
Japan,Japan,Japanese,,,Pepper,Flex,FALSE,8th,Northeption,NTH,Sova,Breach,Gekko,8,93,125,29,0.74,0.97,157,11.6,15.6,3.6
Japan,Japan,Japanese,,,Reita,Flex,TRUE,4th,Murash gaming,MRSH,Killjoy,Clove,Skye,22,313,378,106,0.82,1.1,193,14.2,17.1,4.8
South Korea,Japan,Japanese,Korean,,Seoldam,Flex,FALSE,1st,Riddle,RID,Jett,Gekko,Yoru,22,415,326,89,1.27,1.54,235,18.8,14.8,4
Japan,Japan,Japanese,,,SyouTa,Entry,FALSE,2nd,FENNEL,FL,Raze,Jett,Viper,30,538,457,106,1.17,1.4,225,17.9,15.2,3.5
Japan,Japan,Japanese,,,TENNN,Anchor,FALSE,2nd,FENNEL,FL,Cypher,Killjoy,Viper,30,426,464,100,0.91,1.13,175,14.2,15.4,3.3
Japan,Japan,Japanese,,,Tempura,Smoker,FALSE,8th,Northeption,NTH,Viper,Omen,Cypher,17,208,279,85,0.74,1.05,169,12.2,16.4,5
Japan,Japan,Japanese,,,Tonbo,Support,FALSE,4th,Murash gaming,MRSH,Sova,Gekko,Cypher,22,317,344,99,0.92,1.2,187,14.4,15.6,4.5
South Korea,Japan,Japanese,Korean,,Wolverine,Entry,FALSE,8th,Northeption,NTH,Jett,Raze,Yoru,17,236,293,58,0.8,1,190,13.8,17.2,3.4
Japan,Japan,Japanese,,,Xdll,Support,FALSE,2nd,FENNEL,FL,Sova,Fade,Sage,30,497,478,168,1.03,1.39,222,16.5,15.9,5.6
Philippines,Japan,Japanese,Filipino,English,Yoshiii,Anchor,FALSE,5th-6th,SCARZ,SZ,Killjoy,Cypher,Viper,20,319,281,71,1.13,1.38,209,15.9,14,3.5
Japan,Japan,Japanese,,,Yotaa,Entry,FALSE,5th-6th,SCARZ,SZ,Raze,Jett,Viper,20,366,312,75,1.17,1.41,255,18.3,15.6,3.7
Japan,Japan,Japanese,,,gatorada,Flex,FALSE,3rd,Sengoku Gaming,SG,Omen,Brimstone,Viper,23,268,353,251,0.75,1.47,160,11.6,15.3,10.9
South Korea,Japan,Japanese,Korean,,kAyle,Entry,FALSE,5th-6th,VARREL,VL,Raze,Cypher,Reyna,20,306,320,97,0.95,1.25,215,15.3,16,4.8
Japan,Japan,Japanese,,,million,Support,FALSE,4th,Murash gaming,MRSH,Sage,KAY/O,Breach,22,309,344,233,0.89,1.57,193,14,15.6,10.5
Japan,Japan,Japanese,,,misaya,Support,TRUE,3rd,Sengoku Gaming,SG,KAY/O,Viper,Breach,23,308,359,206,0.85,1.43,175,13.3,15.6,8.9
Japan,Japan,Japanese,,,muto,Flex,FALSE,7th,REJECT,RC,Fade,Sova,Skye,18,279,264,168,1.05,1.69,201,15.5,14.6,9.3
Japan,Japan,Japanese,,,nobita,Flex,FALSE,3rd,Sengoku Gaming,SG,Sova,Fade,Gekko,23,385,360,134,1.06,1.44,213,16.7,15.6,5.8
Japan,Japan,Japanese,,,thiefy,Support,FALSE,8th,Northeption,NTH,Raze,KAY/O,Breach,17,252,272,95,0.92,1.27,211,14.8,16,5.5
Australia,Japan,Japanese,English,,tixx,Flex,FALSE,5th-6th,SCARZ,SZ,Omen,Viper,Brimstone,20,266,279,195,0.95,1.65,183,13.3,13.9,9.7
Japan,Japan,Japanese,,,xnfri,Flex,FALSE,5th-6th,VARREL,VL,Raze,Deadlock,Sova,20,275,302,108,0.91,1.26,183,13.7,15.1,5.4
Japan,Japan,Japanese,,,yatsuka,Anchor,FALSE,1st,Riddle,RID,Omen,Killjoy,Cypher,22,328,311,131,1.05,1.47,182,14.9,14.1,5.9
Japan,Japan,Japanese,,,zepher,Anchor,FALSE,5th-6th,VARREL,VL,Killjoy,Cypher,Omen,20,283,303,81,0.93,1.2,192,14.1,15.1,4
Singapore,Malaysia and Singapore,English,Malay,Mandarin,Adept,Support,FALSE,8th,PDF,PDF,Sova,Breach,Killjoy,13,138,205,69,0.67,1,145,10.6,15.7,5.3
Singapore,Malaysia and Singapore,English,Malay,Mandarin,Divine,Flex,FALSE,4th,LaZe,LZE,Omen,Viper,Brimstone,25,374,335,183,1.11,1.66,196,14.9,13.4,7.3
Malaysia,Malaysia and Singapore,English,Malay,,Ender,Entry,FALSE,5th-6th,Kizuna Esports,KZ,Raze,Jett,Sage,10,134,171,36,0.78,0.99,191,13.4,17.1,3.6
Malaysia,Malaysia and Singapore,English,Malay,,Fixy,Entry,FALSE,2nd,Reve Drift Arena,RDA,Raze,Jett,Chamber,32,571,559,135,1.02,1.26,221,17.8,17.4,4.2
France,Malaysia and Singapore,English,Malay,French,Flaring,Flex,FALSE,3rd,Elevate (American team),ELV,Omen,Brimstone,Viper,26,365,375,237,0.97,1.6,191,14,14.4,9.1
Singapore,Malaysia and Singapore,English,Malay,Mandarin,Impecunity,Anchor,FALSE,5th-6th,NEXGA,NXGA,Killjoy,Cypher,Viper,19,298,269,61,1.1,1.33,208,15.6,14.1,3.2
Singapore,Malaysia and Singapore,English,Malay,Mandarin,Interline,Entry,FALSE,7th,Ninjas in Galaxy,NG,Reyna,Jett,Cypher,4,50,67,20,0.74,1.04,174,12.5,16.7,5
Singapore,Malaysia and Singapore,English,Malay,Mandarin,Kairo,Support,FALSE,5th-6th,Kizuna Esports,KZ,Breach,KAY/O,,3,46,53,37,0.86,1.56,206,15.3,17.6,12.3
Singapore,Malaysia and Singapore,English,Malay,Mandarin,Kenji,Anchor,FALSE,4th,LaZe,LZE,Cypher,Killjoy,Brimstone,25,329,359,114,0.91,1.23,170,13.1,14.3,4.5
Brunei,Malaysia and Singapore,English,Malay,,Mojo,Flex,FALSE,5th-6th,NEXGA,NXGA,Breach,Skye,Sova,19,193,283,183,0.68,1.32,147,10.1,14.8,9.6
Malaysia,Malaysia and Singapore,English,Malay,,Moosey,Flex,FALSE,8th,PDF,PDF,Iso,Phoenix,Jett,16,233,275,79,0.84,1.13,190,14.5,17.1,4.9
Indonesia,Malaysia and Singapore,English,Malay,Indonesian,Nakya,Flex,FALSE,3rd,Elevate (American team),ELV,Raze,Jett,Reyna,26,477,434,88,1.09,1.3,249,18.3,16.6,3.3
Singapore,Malaysia and Singapore,English,Malay,Mandarin,RedKoh,Flex,FALSE,3rd,Elevate (American team),ELV,KAY/O,Breach,Fade,26,384,374,241,1.02,1.67,197,14.7,14.3,9.2
Singapore,Malaysia and Singapore,English,Malay,Mandarin,Reverie,Flex,FALSE,5th-6th,Kizuna Esports,KZ,Sova,Skye,Gekko,18,297,272,105,1.09,1.47,205,16.5,15.1,5.8
